,start,end
incipient,2005-08-08 00:00:00,2005-08-08 12:00:00
intensification,2005-08-08 18:00:00,2005-08-10 00:00:00
mature,2005-08-10 06:00:00,2005-08-11 00:00:00
decay,2005-08-11 06:00:00,2005-08-15 00:00:00
residual,2005-08-15 06:00:00,2005-08-15 18:00:00
