time;Lat;Lon;length;width;min_max_zeta_850;min_hgt_850;max_wind_850
2024-02-14 09Z;-29.28493894165537;-41.08955223880598;5.791820120178333;7.641984880790851;-0.00024744991850922566;1490.4586181640625;16.253414154052734
2024-02-14 12Z;-28.94238663279056;-40.854782019122666;6.858182383624236;7.958878321736769;-0.00021503171086191634;1503.177978515625;15.153840065002441
2024-02-14 15Z;-28.973564381925478;-39.23242909563601;6.509619203425604;6.255997676019419;-0.00038399186121997774;1506.9190673828125;18.147106170654297
2024-02-14 18Z;-29.125688119619394;-37.57875541214377;7.173766626992695;7.5280267073380145;-0.00045447171492741037;1502.4290771484375;17.37750244140625
2024-02-14 21Z;-28.684966494712185;-38.04613008876495;8.451089527116455;9.972285641997416;-0.0003688027764899561;1504.674072265625;15.67934799194336
2024-02-15 00Z;-27.06561105106555;-38.85421815135349;10.82397959089186;9.724669163691907;-0.0002637737058498319;1525.62451171875;11.158535957336426
2024-02-15 03Z;-26.99234347741811;-38.99806163985269;9.733475479744133;8.44640434192673;-0.0001846071610605033;1521.134521484375;11.598044395446777
2024-02-15 06Z;-25.946598177941468;-41.6124248885443;9.08993991083543;11.261872455902306;-0.0002465109486313569;1514.4012451171875;12.34500503540039
2024-02-15 09Z;-26.22814498933903;-41.97441364605544;10.135685210312072;11.985849970924598;-0.0003277741945140923;1512.9051513671875;12.036190032958984
2024-02-15 12Z;-25.262841635975974;-42.054855592169034;9.331265749176193;11.020546617561543;-0.000280384529866358;1523.3795166015625;12.332420349121094
2024-02-15 15Z;-24.498643147896885;-42.17551851133941;11.503198294243067;12.548943593719713;-0.00032933465029943325;1527.8695068359375;13.940835952758789
2024-02-15 18Z;-24.74630293812069;-41.810105637496235;9.552409045974947;9.552409045974947;-0.00023206016935478743;1518.142333984375;14.327958106994629
2024-02-15 21Z;-23.855107578988182;-41.330878077146735;10.21612715642566;10.698778833107191;-0.00026978579500667446;1516.646240234375;16.084489822387695
2024-02-16 00Z;-24.48910275334533;-41.77040145320048;11.076496076104675;9.97730180901032;-0.00042424434001175237;1522.6322021484375;15.299392700195312
2024-02-16 03Z;-24.085757397103144;-41.569197296495034;8.124433199727267;7.870544662235794;-0.00031841667970826056;1517.3934326171875;15.761731147766113
2024-02-16 06Z;-24.69974801318086;-40.2851327776701;8.68773018026749;7.641984880790851;-0.0002275665086507973;1503.92529296875;16.949825286865234
2024-02-16 09Z;-24.538864120953683;-41.250436131033155;7.561542934677259;8.124636557472378;-0.0002649424109289828;1505.4229736328125;16.86762809753418
2024-02-16 12Z;-24.21709633649933;-40.526458616010856;8.205078503585963;7.963752665245202;-0.0003033527917650677;1518.142333984375;16.12609100341797
2024-02-16 15Z;-24.096433417328946;-40.446016669897276;8.929056018608254;8.124636557472378;-0.0003559945660718707;1511.4090576171875;17.332874298095703
2024-02-16 18Z;-23.774665632874594;-40.40579569684048;8.768172126381078;8.205078503585966;-0.00036860747374853906;1497.9407958984375;19.106966018676758
2024-02-16 21Z;-23.372455902306655;-39.762260127931775;8.446404341926726;8.526846288040318;-0.00034344630395746756;1490.4586181640625;19.437728881835938
2024-02-17 00Z;-23.21157201007948;-40.68734250823803;8.929056018608254;8.929056018608257;-0.0002795315007699631;1500.9329833984375;18.927762985229492
2024-02-17 03Z;-24.033649993693718;-40.345951589933605;8.381544716171284;8.127558512650943;-0.00022368585751454407;1488.213623046875;19.810150146484375
2024-02-17 06Z;-23.89532855204498;-39.72203915487498;6.75712347354138;8.607288234153906;-0.0003102802064377658;1474.7454833984375;21.194650650024414
2024-02-17 09Z;-24.419913440848777;-39.920603744120925;6.940827194905161;10.326596558273543;-0.00032771790990025024;1476.2415771484375;20.888442993164062
2024-02-17 12Z;-24.33775925566971;-40.09447478466109;7.320217096336496;10.698778833107191;-0.00028162683041601556;1480.7314453125;21.889019012451172
