;standard_name;Variable
Air Temperature;Air temperature;tair
Geopotential Height;Geopotential height;hgt
Relative Humidity;Relative humidity;relhum
Omega Velocity;Omega velocity;omega
Eastward Wind Component;Zonal component of reconstructed horizontal velocity at cell centers;uReconstructZonal
Northward Wind Component;Meridional component of reconstructed horizontal velocity at cell centers;uReconstructMeridional
Sea Level Pressure;Diagnosed surface pressure;surface_pressure
Longitude;;longitude
Latitude;;latitude
Time;;time
Vertical Level;;pressure
