;standard_name;Variable
Air Temperature;air_temperature;TMP_2_ISBL
Geopotential Height;geopotential_height;HGT_2_ISBL
Relative Humidity;relative_humidity;RH_2_ISBL
Omega Velocity;omega;V_VEL_2_ISBL
Eastward Wind Component;eastward_wind;U_GRD_2_ISBL
Northward Wind Component;northward_wind;V_GRD_2_ISBL
Sea Level Pressure;pressure;PRES_2_MSL
Longitude;;lon_2
Latitude;;lat_2
Time;;initial_time0_hours
Vertical Level;;lv_ISBL3
