,start,end
intensification,2005-08-11 06:00:00,2005-08-12 13:00:00
intensification 2,2005-08-13 17:00:00,2005-08-14 19:00:00
mature,2005-08-08 18:00:00,2005-08-10 23:00:00
mature 2,2005-08-12 02:00:00,2005-08-14 00:00:00
mature 3,2005-08-14 08:00:00,2005-08-16 00:00:00
decay,2005-08-10 12:00:00,2005-08-11 18:00:00
decay 2,2005-08-13 13:00:00,2005-08-14 05:00:00
